"key";"ru";"hy-AM"
"accountSettings.emailVerificationDesc";"Уникальные коды отправляются на email для подтверждения входа.";"Միանգամյա կոդեր են ուղարկվում էլ․ փոստ՝ մուտքերը հաստատելու համար։"
"accountSettings.enable";"Включить";"Միացնել"
"accountSettings.firstName";"Имя";"Անուն"
"accountSettings.firstNamePlaceholder";"Введите имя";"Անուն"
"accountSettings.firstNameRequired";"Имя обязательно";"Անունը պարտադիր է"
"accountSettings.googleAuthenticator";"Google Authenticator";"Google Authenticator"
"accountSettings.googleAuthenticatorDesc";"Использование приложения Google Authenticator генерирует коды, привязанные ко времени, для безопасного входа.";"Google Authenticator հավելվածը ստեղծում է ժամանակի հետ կապված կոդեր անվտանգ մուտքի համար։"
"accountSettings.lastName";"Фамилия";"Ազգանուն"
"accountSettings.lastNamePlaceholder";"Введите фамилию";"Ազգանուն"
"accountSettings.lastNameRequired";"Фамилия обязательна";"Ազգանունը պարտադիր է"
"accountSettings.navigation";"Навигация";"Նավիգացիա"
"accountSettings.newPassword";"Новый пароль";"Նոր գաղտնաբառ"
"accountSettings.newPasswordPlaceholder";"•••••••••";"•••••••••"
"accountSettings.newPasswordRequired";"Введите новый пароль!";"Մուտքագրեք նոր գաղտնաբառը։"
"accountSettings.oktaVerify";"Okta Verify";"Okta Verify"
"accountSettings.oktaVerifyDesc";"Получайте push-уведомления от приложения Okta Verify на вашем телефоне для быстрого подтверждения входа.";"Ստացեք push ծանուցումներ Okta Verify հավելվածից՝ արագ մուտքի հաստատման համար։"
"accountSettings.password";"Пароль";"Գաղտնաբառ"
"accountSettings.passwordDesc";"Помните, ваш пароль - это цифровой ключ к вашему аккаунту. Храните его в безопасности!";"Հիշեք՝ գաղտնաբառը ձեր հաշվի թվային բանալին է։ Պահպանեք այն անվտանգ։"
"accountSettings.passwordNotMatch";"Пароли не совпадают";"Գաղտնաբառերը չեն համընկնում"
"accountSettings.personalInfo";"Личная информация";"Անձնական տեղեկություն"
"accountSettings.phoneNumber";"Номер телефона";"Հեռախոսահամար"
"accountSettings.phoneNumberPlaceholder";"Номер телефона";"Հեռախոսահամար"
"accountSettings.phoneNumberRequired";"Введите номер телефона";"Մուտքագրեք բջջային համարը"
"accountSettings.phoneRequired";"Выберите код страны";"Ընտրեք երկրի կոդը"
"accountSettings.postalCode";"Почтовый индекс";"Փոստային ինդեքս"
"accountSettings.postalCodePlaceholder";"Почтовый индекс";"Փոստային ինդեքս"
"accountSettings.postcodeRequired";"Почтовый индекс обязателен";"Փոստային ինդեքսը պարտադիր է"
"accountSettings.profile";"Профиль";"Պրոֆիլ"
"accountSettings.remove";"Удалить";"Հեռացնել"
"accountSettings.save";"Сохранить";"Պահպանել"
"accountSettings.security";"Безопасность";"Անվտանգություն"
"accountSettings.success";"Успешно";"Հաջողված է"
"accountSettings.title";"Настройки";"Կարգավորումներ"
"accountSettings.twoStepVerification";"Двухфакторная аутентификация";"Երկքայլ հաստատում"
"accountSettings.twoStepVerificationDesc";"Ваш аккаунт имеет большую ценность для хакеров. Включите двухфакторную аутентификацию для защиты вашего аккаунта!";"Ձեր հաշիվը կարևոր է խախտողների համար։ Միացրեք երկքայլ հաստատումը՝ հաշիվը պաշտպանելու համար։"
"accountSettings.update";"Обновить";"Թարմացնել"
"accountSettings.updatePassword";"Обновить пароль";"Թարմացնել գաղտնաբառը"
"accountSettings.updatePasswordConfirm";"Вы уверены, что хотите изменить пароль?";"Վստա՞հ եք, որ ցանկանում եք փոխել գաղտնաբառը։"
"accountSettings.uploadError";"Загрузите файл .jpeg или .png!";"Խնդրում ենք վերբեռնել .jpeg կամ .png ֆայլ։"
"accountSettings.uploadImage";"Загрузить изображение";"Վերբեռնել պատկեր"
"auth.businessSignUp.backToSignUp";"Назад к регистрации";"Վերադառնալ գրանցմանը"
"auth.businessSignUp.buttons.back";"Назад";"Հետ"
"auth.businessSignUp.buttons.creating";"Создание аккаунта...";"Հաշիվը ստեղծվում է…"
"auth.businessSignUp.buttons.next";"Далее";"Հաջորդը"
"auth.businessSignUp.buttons.register";"Зарегистрироваться";"Գրանցվել"
"auth.businessSignUp.fields.businessAddress";"Адрес";"Հասցե"
"auth.businessSignUp.fields.businessAddressPlaceholder";"Полный адрес бизнеса";"Բիզնեսի լրիվ հասցե"
"auth.businessSignUp.fields.businessDescription";"Описание";"Նկարագրություն"
"auth.businessSignUp.fields.businessDescriptionPlaceholder";"Краткое описание вашего бизнеса";"Կարճ նկարագրություն ձեր բիզնեսի մասին"
"auth.businessSignUp.fields.businessEmail";"Email бизнеса";"Բիզնեսի էլ․ փոստ"
"auth.businessSignUp.fields.businessEmailPlaceholder";"business@example.com";"business@example.com"
"auth.businessSignUp.fields.businessName";"Название бизнеса";"Բիզնեսի անվանում"
"auth.businessSignUp.fields.businessNamePlaceholder";"Название бизнеса";"Բիզնեսի անվանում"
"auth.businessSignUp.fields.businessPhone";"Телефон бизнеса";"Բիզնեսի հեռախոս"
"auth.businessSignUp.fields.businessWebsite";"Веб-сайт";"Կայք"
"auth.businessSignUp.fields.businessWebsitePlaceholder";"https://example.com";"https://example.com"
"auth.businessSignUp.messages.accountCreated";"Аккаунт создан!";"Հաշիվը ստեղծվել է։"
"auth.businessSignUp.messages.accountCreatedButNotSaved";"Аккаунт создан, но данные компании не были сохранены. Вы сможете заполнить их в настройках.";"Հաշիվը ստեղծվել է, բայց բիզնեսի տվյալները չեն պահպանվել։ Կարող եք լրացնել դրանք կարգավորումներում։"
"auth.businessSignUp.messages.registrationError";"Ошибка регистрации";"Գրանցման սխալ"
"auth.businessSignUp.messages.tryAgain";"Ошибка регистрации. Попробуйте еще раз.";"Գրանցման սխալ։ Խնդրում ենք կրկին փորձել։"
"auth.businessSignUp.messages.validationError";"Ошибка валидации";"Վավերացման սխալ"
"auth.businessSignUp.messages.warning";"Внимание";"Զգուշացում"
"auth.businessSignUp.messages.welcomeRedirect";"Добро пожаловать! Вы будете перенаправлены в личный кабинет.";"Բարի գալուստ։ Կուղղորդվեք ձեր վահանակ։"
"auth.businessSignUp.steps.step1.description";"Основная информация о вас";"Ձեր մասին հիմնական տեղեկություն"
"auth.businessSignUp.steps.step1.title";"Личные данные";"Անձնական տվյալներ"
"auth.businessSignUp.steps.step2.description";"Создайте пароль";"Ստեղծեք գաղտնաբառ"
"auth.businessSignUp.steps.step2.title";"Безопасность";"Անվտանգություն"
"auth.businessSignUp.steps.step3.description";"Данные вашего бизнеса";"Ձեր բիզնեսի տեղեկություն"
"auth.businessSignUp.steps.step3.title";"Информация о бизнесе";"Բիզնեսի տվյալներ"
"auth.businessSignUp.subtitle";"Создайте аккаунт для вашего бизнеса";"Ստեղծեք հաշիվ ձեր բիզնեսի համար"
"auth.businessSignUp.title";"Регистрация бизнеса";"Բիզնեսի գրանցում"
"auth.businessSignUp.validation.businessAddressRequired";"Введите адрес бизнеса";"Մուտքագրեք բիզնեսի հասցեն"
"auth.businessSignUp.validation.businessEmailInvalid";"Введите корректный email бизнеса";"Մուտքագրեք վավեր բիզնեսի էլ․ փոստ"
"auth.businessSignUp.validation.businessNameRequired";"Введите название бизнеса";"Մուտքագրեք բիզնեսի անվանումը"
"auth.businessSignUp.validation.businessPhoneRequired";"Введите телефон бизнеса";"Մուտքագրեք բիզնեսի հեռախոսը"
"auth.checkingAccess";"Проверка доступа...";"Մուտքի ստուգում…"
"auth.forgotPassword.backToSignIn";"Вернуться к входу";"Վերադառնալ մուտք"
"auth.forgotPassword.description";"Введите ваш email, и мы отправим вам ссылку для восстановления пароля";"Մուտքագրեք էլ․ փոստը, և մենք կուղարկենք հղում գաղտնաբառը վերակայելու համար"
"auth.forgotPassword.email";"Email";"Էլ․ փոստ"
"auth.forgotPassword.sendButton";"Отправить";"Ուղարկել"
"auth.forgotPassword.title";"Восстановление пароля";"Մոռացված գաղտնաբառ"
"auth.resetPassword.confirmPassword";"Подтвердите пароль";"Հաստատել գաղտնաբառը"
"auth.resetPassword.newPassword";"Новый пароль";"Նոր գաղտնաբառ"
"auth.resetPassword.resetButton";"Сбросить пароль";"Վերակայել գաղտնաբառը"
"auth.resetPassword.title";"Сброс пароля";"Գաղտնաբառի վերակայում"
"auth.signIn.email";"Email";"Էլ․ փոստ"
"auth.signIn.enterData";"Введите ваши данные для входа";"Մուտք գործելու համար մուտքագրեք ձեր տվյալները"
"auth.signIn.forgotPassword";"Забыли пароль?";"Մոռացե՞լ եք գաղտնաբառը"
"auth.signIn.noAccount";"Нет аккаунта?";"Հաշիվ չունե՞ք"
"auth.signIn.noAccountText";"Еще нет аккаунта?";"Հաշիվ չունե՞ք"
"auth.signIn.orContinue";"или продолжить через";"կամ շարունակել"
"auth.signIn.password";"Пароль";"Գաղտնաբառ"
"auth.signIn.registrationClosedNotice";"Регистрация новых аккаунтов временно отключена администратором.";"Նոր հաշվի գրանցումը ժամանակավորապես անջատված է ադմինիստրատորի կողմից։"
"auth.signIn.rememberMe";"Запомнить меня";"Հիշել ինձ"
"auth.signIn.signInButton";"Войти";"Մուտք"
"auth.signIn.signUp";"Зарегистрироваться";"Գրանցվել"
"auth.signIn.signingIn";"Вход...";"Մուտք է կատարվում…"
"auth.signIn.title";"Вход";"Մուտք"
"auth.signIn.validation.emailRequired";"Введите ваш email";"Մուտքագրեք էլ․ փոստը"
"auth.signIn.validation.passwordRequired";"Введите ваш пароль";"Մուտքագրեք գաղտնաբառը"
"auth.signIn.welcome";"Добро пожаловать!";"Բարի գալուստ։"
"auth.signUp.agreeTerms";"Я согласен с";"Համաձայն եմ"
"auth.signUp.and";"и";"և"
"auth.signUp.businessOwner";"Владелец бизнеса";"Բիզնեսի սեփականատեր"
"auth.signUp.client";"Клиент";"Հաճախորդ"
"auth.signUp.confirmPassword";"Подтвердите пароль";"Հաստատել գաղտնաբառը"
"auth.signUp.confirmPasswordPlaceholder";"Подтвердите пароль";"Կրկին մուտքագրեք գաղտնաբառը"
"auth.signUp.cookiePolicy";"политикой использования Cookie";"թխուկների քաղաքականությանը"
"auth.signUp.creatingAccount";"Создание аккаунта...";"Հաշիվը ստեղծվում է…"
"auth.signUp.email";"Email";"Էլ․ փոստ"
"auth.signUp.firstName";"Имя";"Անուն"
"auth.signUp.haveAccount";"Уже есть аккаунт?";"Արդեն ունե՞ք հաշիվ"
"auth.signUp.lastName";"Фамилия";"Ազգանուն"
"auth.signUp.oauth.agreeTerms";"Нажимая на кнопку, вы соглашаетесь с";"Կոճակը սեղմելով՝ համաձայն եք"
"auth.signUp.oauth.and";"и";"և"
"auth.signUp.oauth.privacyPolicy";"политикой конфиденциальности";"գաղտնիության քաղաքականությանը"
"auth.signUp.oauth.termsOfService";"условиями использования";"օգտագործման պայմաններին"
"auth.signUp.password";"Пароль";"Գաղտնաբառ"
"auth.signUp.passwordPlaceholder";"Пароль (мин. 8 символов)";"Գաղտնաբառ (առնվազն 8 նիշ)"
"auth.signUp.phone";"Телефон";"Հեռախոս"
"auth.signUp.phonePlaceholder";"+1 (555) 123-4567";"+1 (555) 123-4567"
"auth.signUp.privacyPolicy";"политикой конфиденциальности";"գաղտնիության քաղաքականությանը"
"auth.signUp.registeringAs";"Я регистрируюсь как";"Գրանցվում եմ որպես"
"auth.signUp.signIn";"Войти";"Մուտք"
"auth.signUp.signUpButton";"Зарегистрироваться";"Գրանցվել"
"auth.signUp.subtitle";"Создайте аккаунт и начните работу";"Ստեղծեք հաշիվ և սկսեք աշխատել"
"auth.signUp.termsOfService";"условиями использования";"օգտագործման պայմաններին"
"auth.signUp.title";"Регистрация";"Գրանցում"
"auth.signUp.validation.agreeTermsRequired";"Необходимо согласиться с условиями использования";"Պետք է համաձայնեք օգտագործման պայմաններին"
"auth.signUp.validation.confirmPasswordRequired";"Подтвердите пароль";"Հաստատեք գաղտնաբառը"
"auth.signUp.validation.emailRequired";"Введите корректный email";"Մուտքագրեք վավեր էլ․ փոստ"
"auth.signUp.validation.firstNameRequired";"Введите ваше имя";"Մուտքագրեք անունը"
"auth.signUp.validation.lastNameRequired";"Введите вашу фамилию";"Մուտքագրեք ազգանունը"
"auth.signUp.validation.passwordMinLength";"Пароль должен быть не менее 8 символов";"Գաղտնաբառը պետք է լինի առնվազն 8 նիշ"
"auth.signUp.validation.passwordsNotMatch";"Пароли не совпадают";"Գաղտնաբառերը չեն համընկնում"
"business.advertisements.ads.adBadge";"Реклама";"Գովազդ"
"business.advertisements.ads.buyAds";"Купить рекламу";"Գնել գովազդ"
"business.advertisements.ads.columns.createdAt";"Создано";"Ստեղծվել է"
"business.advertisements.ads.columns.photo";"Фото";"Լուսանկար"
"business.advertisements.ads.columns.placement";"Размещение";"Տեղադրում"
"business.advertisements.ads.columns.placementDates";"Даты размещения";"Տեղադրման ամսաթվեր"
"business.advertisements.ads.columns.stats";"Статистика";"Վիճակագրություն"
"business.advertisements.ads.columns.status";"Статус";"Կարգավիճակ"
"business.advertisements.ads.columns.title";"Название";"Վերնագիր"
"business.advertisements.ads.columns.visible";"Видимость";"Տեսանելիություն"
"business.advertisements.ads.description";"Управление рекламными объявлениями с полной статистикой и настройками";"Կառավարեք հայտարարությունները ամբողջ վիճակագրությամբ և կարգավորումներով"
"business.advertisements.ads.noAds";"Нет рекламных объявлений";"Հայտարարություններ չկան"
"business.advertisements.ads.noAdsDescription";"Купите рекламу для продвижения вашего бизнеса";"Գնեք գովազդ՝ բիզնեսը առաջ մղելու համար"
"business.advertisements.ads.notifications.deleteError";"Не удалось удалить рекламное объявление";"Հնարավոր չէր ջնջել հայտարարությունը"
"business.advertisements.ads.notifications.deleteSuccess";"Рекламное объявление успешно удалено";"Հայտարարությունը հաջողությամբ ջնջվել է"
"business.advertisements.ads.notifications.visibilityError";"Ошибка при обновлении видимости";"Սխալ տեսանելիությունը թարմացնելիս"
"business.advertisements.ads.notifications.visibilityUpdated";"Видимость объявления обновлена";"Հայտարարության տեսանելիությունը թարմացվել է"
"business.advertisements.ads.placements.banner";"Баннер";"Բաններ"
"business.advertisements.ads.placements.homepage";"Главная";"Գլխավոր էջ"
"business.advertisements.ads.placements.services";"Услуги";"Ծառայություններ"
"business.advertisements.ads.placements.sidebar";"Боковая панель";"Կողային վահանակ"
"business.advertisements.ads.stats.clicks";"Клики";"Սեղմումներ"
"business.advertisements.ads.stats.created";"Создано";"Ստեղծվել է"
"business.advertisements.ads.stats.impressions";"Показы";"Ցուցադրումներ"
"business.advertisements.ads.title";"Мои рекламные объявления";"Իմ հայտարարությունները"
"business.advertisements.ads.viewModal.city";"Город";"Քաղաք"
"business.advertisements.ads.viewModal.clicks";"Клики";"Սեղմումներ"
"business.advertisements.ads.viewModal.endDate";"Дата окончания";"Ավարտի ամսաթիվ"
"business.advertisements.ads.viewModal.impressions";"Показы";"Ցուցադրումներ"
"business.advertisements.ads.viewModal.link";"Ссылка";"Հղում"
"business.advertisements.ads.viewModal.placement";"Размещение";"Տեղադրում"
"business.advertisements.ads.viewModal.startDate";"Дата начала";"Սկզբի ամսաթիվ"
"business.advertisements.ads.viewModal.state";"Штат";"Նահանգ"
"business.advertisements.ads.viewModal.status";"Статус";"Կարգավիճակ"
"business.advertisements.ads.viewModal.title";"Просмотр рекламного объявления";"Դիտել հայտարարությունը"
"business.advertisements.buyAds";"Купить рекламу";"Գնել գովազդ"
"business.advertisements.columns.createdAt";"Создано";"Ստեղծվել է"
"business.advertisements.columns.photo";"Фото";"Լուսանկար"
"business.advertisements.columns.status";"Статус";"Կարգավիճակ"
"business.advertisements.columns.title";"Название";"Վերնագիր"
"business.advertisements.columns.visible";"Видимость";"Տեսանելիություն"
"business.advertisements.create.additionalServices.active";"Активна";"Ակտիվ"
"business.advertisements.create.additionalServices.addButton";"Добавить";"Ավելացնել"
"business.advertisements.create.additionalServices.addError";"Не удалось добавить дополнительную услугу";"Հնարավոր չէր ավելացնել լրացուցիչ ծառայություն"
"business.advertisements.create.additionalServices.added";"Дополнительная услуга добавлена";"Լրացուցիչ ծառայությունը ավելացվել է"
"business.advertisements.create.additionalServices.cancel";"Отмена";"Չեղարկել"
"business.advertisements.create.additionalServices.delete";"Удалить";"Ջնջել"
"business.advertisements.create.additionalServices.deleteError";"Не удалось удалить дополнительную услугу";"Հնարավոր չէր ջնջել լրացուցիչ ծառայություն"
"business.advertisements.create.additionalServices.deleteMessage";"Вы уверены, что хотите удалить эту дополнительную услугу?";"Վստա՞հ եք, որ ցանկանում եք ջնջել այս լրացուցիչ ծառայությունը"
"business.advertisements.create.additionalServices.deleteTitle";"Удалить дополнительную услугу?";"Ջնջե՞լ լրացուցիչ ծառայությունը"
"business.advertisements.create.additionalServices.deleted";"Дополнительная услуга удалена";"Լրացուցիչ ծառայությունը ջնջվել է"
"business.advertisements.create.additionalServices.description";"Описание";"Նկարագրություն"
"business.advertisements.create.additionalServices.descriptionPlaceholder";"Описание услуги";"Ծառայության նկարագրություն"
"business.advertisements.create.additionalServices.duration";"Длительность (мин)";"Տևողություն (րոպե)"
"business.advertisements.create.additionalServices.durationPlaceholder";"например, 30";"օր.՝ 30"
"business.advertisements.create.additionalServices.editFormTitle";"Редактировать дополнительную услугу";"Խմբագրել լրացուցիչ ծառայությունը"
"business.advertisements.create.additionalServices.formTitle";"Добавить дополнительную услугу";"Ավելացնել լրացուցիչ ծառայություն"
"business.advertisements.create.additionalServices.fromDb";"из базы данных";"տվյալների բազայից"
"business.advertisements.create.additionalServices.inactive";"Неактивна";"Ոչ ակտիվ"
"business.advertisements.create.additionalServices.isActive";"Активна";"Ակտիվ"
"business.advertisements.create.additionalServices.loading";"Загрузка дополнительных услуг...";"Բեռնվում են լրացուցիչ ծառայություններ…"
"business.advertisements.create.additionalServices.manage";"Управление";"Կառավարել"
"business.advertisements.create.additionalServices.manageTitle";"Управление дополнительными услугами";"Կառավարել լրացուցիչ ծառայությունները"
"business.advertisements.create.additionalServices.name";"Название";"Անուն"
"business.advertisements.create.additionalServices.namePlaceholder";"например, Укладка";"օր.՝ Ստայլինգ"
"business.advertisements.create.additionalServices.noServices";"Нет дополнительных услуг. Нажмите ""Добавить"", чтобы создать первую.";"Լրացուցիչ ծառայություններ չկան։ Սեղմեք «Ավելացնել»՝ առաջինը ստեղծելու համար։"
"business.advertisements.create.additionalServices.noServicesManage";"Нет дополнительных услуг. Нажмите ""Управление"", чтобы добавить первую.";"Լրացուցիչ ծառայություններ չկան։ Սեղմեք «Կառավարել»։"
"business.advertisements.create.additionalServices.price";"Цена ($)";"Գին ($)"
"business.advertisements.create.additionalServices.pricePlaceholder";"например, 25.50";"օր.՝ 25.50"
"business.advertisements.create.additionalServices.save";"Сохранить";"Պահել"
"business.advertisements.create.additionalServices.saveError";"Не удалось сохранить дополнительную услугу. Убедитесь, что услуга сохранена в базе данных.";"Հնարավոր չէր պահել լրացուցիչ ծառայությունը։ Համոզվեք, որ ծառայությունը պահված է բազայում։"
"business.advertisements.create.additionalServices.serviceLabel";"Услуга";"Ծառայություն"
"business.advertisements.create.additionalServices.showInBooking";"Показывать при бронировании";"Ցուցադրել ամրագրման մեջ"
"business.advertisements.create.additionalServices.sortOrder";"Порядок сортировки";"Դասավորման կարգ"
"business.advertisements.create.additionalServices.title";"Дополнительные услуги";"Լրացուցիչ ծառայություններ"
"business.advertisements.create.additionalServices.updateError";"Не удалось обновить дополнительную услугу";"Հնարավոր չէր թարմացնել լրացուցիչ ծառայությունը"
"business.advertisements.create.additionalServices.updated";"Дополнительная услуга обновлена";"Լրացուցիչ ծառայությունը թարմացվել է"
"business.advertisements.create.additionalServices.validation.durationRequired";"Введите длительность";"Մուտքագրեք տևողությունը"
"business.advertisements.create.additionalServices.validation.nameRequired";"Введите название услуги";"Մուտքագրեք ծառայության անունը"
"business.advertisements.create.additionalServices.validation.priceRequired";"Введите цену";"Մուտքագրեք գինը"
"business.advertisements.create.buttons.addTeamMember";"Добавить участника команды";"Ավելացնել թիմի անդամ"
"business.advertisements.create.buttons.back";"Назад";"Հետ"
"business.advertisements.create.buttons.cancel";"Отмена";"Չեղարկել"
"business.advertisements.create.buttons.next";"Далее";"Հաջորդ"
"business.advertisements.create.create";"Создать";"Ստեղծել"
"business.advertisements.create.draft";"Черновик";"Սևագիր"
"business.advertisements.create.editTitle";"Редактировать объявление";"Խմբագրել հայտարարությունը"
"business.advertisements.create.general.category";"Категория";"Կատեգորիա"
"business.advertisements.create.general.categoryPlaceholder";"Выберите категорию";"Ընտրեք կատեգորիա"
"business.advertisements.create.general.citiesLoading";"Загрузка городов...";"Բեռնվում են քաղաքներ…"
"business.advertisements.create.general.citiesNotFound";"Города не найдены";"Քաղաքներ չեն գտնվել"
"business.advertisements.create.general.city";"Город";"Քաղաք"
"business.advertisements.create.general.cityPlaceholder";"Выберите город";"Ընտրեք քաղաք"
"business.advertisements.create.general.description";"Описание";"Նկարագրություն"
"business.advertisements.create.general.descriptionPlaceholder";"Опишите ваше объявление";"Նկարագրեք հայտարարությունը"
"business.advertisements.create.general.endDate";"Дата окончания";"Ավարտի ամսաթիվ"
"business.advertisements.create.general.endDateHint";"Оставьте пустым для бессрочного размещения";"Թողեք դատարկ՝ անսահման տեղադրում"
"business.advertisements.create.general.image";"Изображение";"Նկար"
"business.advertisements.create.general.imageUploadHint";"Нажмите, чтобы загрузить изображение";"Սեղմեք նկար վերբեռնելու համար"
"business.advertisements.create.general.imageUploading";"Загрузка...";"Վերբեռնում…"
"business.advertisements.create.general.imageUrlHint";"Или введите URL изображения ниже";"Կամ մուտքագրեք նկարի URL ներքևում"
"business.advertisements.create.general.link";"Ссылка";"Հղում"
"business.advertisements.create.general.linkHint";"Ссылка на ваш сайт или профиль";"Հղում կայքին կամ պրոֆիլին"
"business.advertisements.create.general.name";"Название объявления";"Հայտարարության անվանում"
"business.advertisements.create.general.namePlaceholder";"Введите название объявления";"Մուտքագրեք հայտարարության անունը"
"business.advertisements.create.general.selectStateFirst";"Сначала выберите штат";"Նախ ընտրեք նահանգը"
"business.advertisements.create.general.startDate";"Дата начала";"Սկզբի ամսաթիվ"
"business.advertisements.create.general.startDateHint";"Оставьте пустым для бессрочного размещения";"Թողեք դատարկ՝ անսահման տեղադրում"
"business.advertisements.create.general.state";"Штат";"Նահանգ"
"business.advertisements.create.general.statePlaceholder";"Выберите штат";"Ընտրեք նահանգը"
"business.advertisements.create.general.title";"Общая информация";"Ընդհանուր տեղեկություն"
"business.advertisements.create.imageLoadError";"Не удалось загрузить изображение. Проверьте URL: {url}";"Հնարավոր չէր բեռնել նկարը։ Ստուգեք URL՝ {url}"
"business.advertisements.create.notifications.authRequired";"Требуется авторизация. Пожалуйста, войдите в систему.";"Անհրաժեշտ է մուտք գործել։"
"business.advertisements.create.notifications.createError";"Не удалось создать объявление";"Հնարավոր չէր ստեղծել հայտարարություն"
"business.advertisements.create.notifications.created";"Объявление успешно создано";"Հայտարարությունը հաջողությամբ ստեղծվել է"
"business.advertisements.create.notifications.imageUploadError";"Не удалось загрузить изображение";"Հնարավոր չէր վերբեռնել նկարը"
"business.advertisements.create.notifications.imageUploaded";"Изображение успешно загружено";"Նկարը հաջողությամբ վերբեռնվել է"
"business.advertisements.create.notifications.unknownError";"Произошла неизвестная ошибка";"Անհայտ սխալ է տեղի ունեցել"
"business.advertisements.create.notifications.updateError";"Не удалось обновить объявление";"Հնարավոր չէր թարմացնել հայտարարությունը"
"business.advertisements.create.notifications.updated";"Объявление успешно обновлено";"Հայտարարությունը հաջողությամբ թարմացվել է"
"business.advertisements.create.portfolio.add";"Добавить";"Ավելացնել"
"business.advertisements.create.portfolio.addMore";"Добавить ещё";"Ավելացնել ևս"
"business.advertisements.create.portfolio.cancel";"Отмена";"Չեղարկել"
"business.advertisements.create.portfolio.description";"Описание";"Նկարագրություն"
"business.advertisements.create.portfolio.descriptionPlaceholder";"Подробное описание работы";"Աշխատանքի մանրամասն նկարագրություն"
"business.advertisements.create.portfolio.error";"Ошибка";"Սխալ"
"business.advertisements.create.portfolio.image";"изображение";"նկար"
"business.advertisements.create.portfolio.images";"Изображения";"Նկարներ"
"business.advertisements.create.portfolio.imagesCount";"Изображения ({count})";"Նկարներ ({count})"
"business.advertisements.create.portfolio.itemTitle";"Название";"Վերնագիր"
"business.advertisements.create.portfolio.itemTitlePlaceholder";"Название работы";"Աշխատանքի վերնագիր"
"business.advertisements.create.portfolio.success";"Успешно";"Հաջողություն"
"business.advertisements.create.portfolio.tag";"Тег";"Պիտակ"
"business.advertisements.create.portfolio.tagPlaceholder";"например, Ремонт";"օր.՝ Վերանորոգում"
"business.advertisements.create.portfolio.title";"Портфолио";"Պորտֆոլիո"
"business.advertisements.create.portfolio.uploadError";"Не удалось загрузить изображения";"Հնարավոր չէր վերբեռնել նկարները"
"business.advertisements.create.portfolio.uploadFileError";"Не удалось загрузить файл {fileName}";"Հնարավոր չէր վերբեռնել ֆայլը՝ {fileName}"
"business.advertisements.create.portfolio.uploadHint";"Нажмите или перетащите файлы для загрузки (можно несколько)";"Սեղմեք կամ քաշեք ֆայլեր (մի քանի թույլատրվում է)"
"business.advertisements.create.portfolio.uploadSuccess";"Загружено {count} изображений";"Վերբեռնվել է {count} նկար"
"business.advertisements.create.portfolio.uploading";"Загрузка...";"Վերբեռնում…"
"business.advertisements.create.portfolio.warning";"Предупреждение";"Զգուշացում"
"business.advertisements.create.pricing.currency";"Валюта";"Արժույթ"
"business.advertisements.create.pricing.priceFrom";"Цена от";"Գինից"
"business.advertisements.create.pricing.priceTo";"Цена до";"Գինը մինչև"
"business.advertisements.create.pricing.title";"Ценообразование";"Գնավորում"
"business.advertisements.create.save";"Сохранить";"Պահել"
"business.advertisements.create.schedule.friday";"Пятница";"Ուրբաթ"
"business.advertisements.create.schedule.hour1";"1 час";"1 ժամ"
"business.advertisements.create.schedule.hours15";"1.5 часа";"1.5 ժամ"
