"key";"ru";"es-MX"
"accountSettings.phoneNumberPlaceholder";"Номер телефона";"Número de teléfono"
"accountSettings.phoneNumberRequired";"Введите номер телефона";"Ingresa tu número móvil"
"accountSettings.phoneRequired";"Выберите код страны";"Selecciona el código de país"
"accountSettings.postalCode";"Почтовый индекс";"Código postal"
"accountSettings.postalCodePlaceholder";"Почтовый индекс";"Código postal"
"accountSettings.postcodeRequired";"Почтовый индекс обязателен";"El código postal es obligatorio"
"accountSettings.profile";"Профиль";"Perfil"
"accountSettings.remove";"Удалить";"Quitar"
"accountSettings.save";"Сохранить";"Guardar"
"accountSettings.security";"Безопасность";"Seguridad"
"accountSettings.success";"Успешно";"Listo"
"accountSettings.title";"Настройки";"Configuración"
"accountSettings.twoStepVerification";"Двухфакторная аутентификация";"Verificación en dos pasos"
"accountSettings.twoStepVerificationDesc";"Ваш аккаунт имеет большую ценность для хакеров. Включите двухфакторную аутентификацию для защиты вашего аккаунта!";"Tu cuenta es valiosa para los atacantes. Activa la verificación en dos pasos para protegerla."
"accountSettings.update";"Обновить";"Actualizar"
"accountSettings.updatePassword";"Обновить пароль";"Actualizar contraseña"
"accountSettings.updatePasswordConfirm";"Вы уверены, что хотите изменить пароль?";"¿Seguro que quieres cambiar tu contraseña?"
"accountSettings.uploadError";"Загрузите файл .jpeg или .png!";"Sube un archivo .jpeg o .png"
"accountSettings.uploadImage";"Загрузить изображение";"Subir imagen"
"auth.businessSignUp.backToSignUp";"Назад к регистрации";"Volver al registro"
"auth.businessSignUp.buttons.back";"Назад";"Atrás"
"auth.businessSignUp.buttons.creating";"Создание аккаунта...";"Creando cuenta…"
"auth.businessSignUp.buttons.next";"Далее";"Siguiente"
"auth.businessSignUp.buttons.register";"Зарегистрироваться";"Registrarse"
"auth.businessSignUp.fields.businessAddress";"Адрес";"Dirección"
"auth.businessSignUp.fields.businessAddressPlaceholder";"Полный адрес бизнеса";"Dirección completa del negocio"
"auth.businessSignUp.fields.businessDescription";"Описание";"Descripción"
"auth.businessSignUp.fields.businessDescriptionPlaceholder";"Краткое описание вашего бизнеса";"Breve descripción de tu negocio"
"auth.businessSignUp.fields.businessEmail";"Email бизнеса";"Correo del negocio"
"auth.businessSignUp.fields.businessEmailPlaceholder";"business@example.com";"negocio@ejemplo.com"
"auth.businessSignUp.fields.businessName";"Название бизнеса";"Nombre del negocio"
"auth.businessSignUp.fields.businessNamePlaceholder";"Название бизнеса";"Nombre del negocio"
"auth.businessSignUp.fields.businessPhone";"Телефон бизнеса";"Teléfono del negocio"
"auth.businessSignUp.fields.businessWebsite";"Веб-сайт";"Sitio web"
"auth.businessSignUp.fields.businessWebsitePlaceholder";"https://example.com";"https://ejemplo.com"
"auth.businessSignUp.messages.accountCreated";"Аккаунт создан!";"¡Cuenta creada!"
"auth.businessSignUp.messages.accountCreatedButNotSaved";"Аккаунт создан, но данные компании не были сохранены. Вы сможете заполнить их в настройках.";"Cuenta creada, pero no se guardaron los datos del negocio. Puedes completarlos en configuración."
"auth.businessSignUp.messages.registrationError";"Ошибка регистрации";"Error de registro"
"auth.businessSignUp.messages.tryAgain";"Ошибка регистрации. Попробуйте еще раз.";"Error al registrarse. Intenta de nuevo."
"auth.businessSignUp.messages.validationError";"Ошибка валидации";"Error de validación"
"auth.businessSignUp.messages.warning";"Внимание";"Aviso"
"auth.businessSignUp.messages.welcomeRedirect";"Добро пожаловать! Вы будете перенаправлены в личный кабинет.";"¡Bienvenido! Te redirigiremos al panel."
"auth.businessSignUp.steps.step1.description";"Основная информация о вас";"Información básica sobre ti"
"auth.businessSignUp.steps.step1.title";"Личные данные";"Datos personales"
"auth.businessSignUp.steps.step2.description";"Создайте пароль";"Crea una contraseña"
"auth.businessSignUp.steps.step2.title";"Безопасность";"Seguridad"
"auth.businessSignUp.steps.step3.description";"Данные вашего бизнеса";"Información de tu negocio"
"auth.businessSignUp.steps.step3.title";"Информация о бизнесе";"Datos del negocio"
"auth.businessSignUp.subtitle";"Создайте аккаунт для вашего бизнеса";"Crea una cuenta para tu negocio"
"auth.businessSignUp.title";"Регистрация бизнеса";"Registro de negocio"
"auth.businessSignUp.validation.businessAddressRequired";"Введите адрес бизнеса";"Ingresa la dirección del negocio"
"auth.businessSignUp.validation.businessEmailInvalid";"Введите корректный email бизнеса";"Ingresa un correo de negocio válido"
"auth.businessSignUp.validation.businessNameRequired";"Введите название бизнеса";"Ingresa el nombre del negocio"
"auth.businessSignUp.validation.businessPhoneRequired";"Введите телефон бизнеса";"Ingresa el teléfono del negocio"
"auth.checkingAccess";"Проверка доступа...";"Verificando acceso…"
"auth.forgotPassword.backToSignIn";"Вернуться к входу";"Volver al inicio de sesión"
"auth.forgotPassword.description";"Введите ваш email, и мы отправим вам ссылку для восстановления пароля";"Ingresa tu correo y te enviaremos un enlace para restablecerla"
"auth.forgotPassword.email";"Email";"Correo electrónico"
"auth.forgotPassword.sendButton";"Отправить";"Enviar"
"auth.forgotPassword.title";"Восстановление пароля";"Recuperar contraseña"
"auth.resetPassword.confirmPassword";"Подтвердите пароль";"Confirmar contraseña"
"auth.resetPassword.newPassword";"Новый пароль";"Nueva contraseña"
"auth.resetPassword.resetButton";"Сбросить пароль";"Restablecer contraseña"
"auth.resetPassword.title";"Сброс пароля";"Restablecer contraseña"
"auth.signIn.email";"Email";"Correo electrónico"
"auth.signIn.enterData";"Введите ваши данные для входа";"Ingresa tus datos para entrar"
"auth.signIn.forgotPassword";"Забыли пароль?";"¿Olvidaste tu contraseña?"
"auth.signIn.noAccount";"Нет аккаунта?";"¿No tienes cuenta?"
"auth.signIn.noAccountText";"Еще нет аккаунта?";"¿No tienes cuenta?"
"auth.signIn.orContinue";"или продолжить через";"o continúa con"
"auth.signIn.password";"Пароль";"Contraseña"
"auth.signIn.registrationClosedNotice";"Регистрация новых аккаунтов временно отключена администратором.";"El administrador desactivó temporalmente el registro de cuentas nuevas."
"auth.signIn.rememberMe";"Запомнить меня";"Recordarme"
"auth.signIn.signInButton";"Войти";"Entrar"
"auth.signIn.signUp";"Зарегистрироваться";"Registrarse"
"auth.signIn.signingIn";"Вход...";"Iniciando sesión…"
"auth.signIn.title";"Вход";"Iniciar sesión"
"auth.signIn.validation.emailRequired";"Введите ваш email";"Ingresa tu correo"
"auth.signIn.validation.passwordRequired";"Введите ваш пароль";"Ingresa tu contraseña"
"auth.signIn.welcome";"Добро пожаловать!";"¡Bienvenido!"
"auth.signUp.agreeTerms";"Я согласен с";"Acepto los"
"auth.signUp.and";"и";"y el"
"auth.signUp.businessOwner";"Владелец бизнеса";"Dueño de negocio"
"auth.signUp.client";"Клиент";"Cliente"
"auth.signUp.confirmPassword";"Подтвердите пароль";"Confirmar contraseña"
"auth.signUp.confirmPasswordPlaceholder";"Подтвердите пароль";"Confirma tu contraseña"
"auth.signUp.cookiePolicy";"политикой использования Cookie";"política de cookies"
"auth.signUp.creatingAccount";"Создание аккаунта...";"Creando cuenta…"
"auth.signUp.email";"Email";"Correo electrónico"
"auth.signUp.firstName";"Имя";"Nombre"
"auth.signUp.haveAccount";"Уже есть аккаунт?";"¿Ya tienes cuenta?"
"auth.signUp.lastName";"Фамилия";"Apellido"
"auth.signUp.oauth.agreeTerms";"Нажимая на кнопку, вы соглашаетесь с";"Al hacer clic aceptas los"
"auth.signUp.oauth.and";"и";"y el"
"auth.signUp.oauth.privacyPolicy";"политикой конфиденциальности";"aviso de privacidad"
"auth.signUp.oauth.termsOfService";"условиями использования";"términos del servicio"
"auth.signUp.password";"Пароль";"Contraseña"
"auth.signUp.passwordPlaceholder";"Пароль (мин. 8 символов)";"Contraseña (mín. 8 caracteres)"
"auth.signUp.phone";"Телефон";"Teléfono"
"auth.signUp.phonePlaceholder";"+1 (555) 123-4567";"+1 (555) 123-4567"
"auth.signUp.privacyPolicy";"политикой конфиденциальности";"aviso de privacidad"
"auth.signUp.registeringAs";"Я регистрируюсь как";"Me registro como"
"auth.signUp.signIn";"Войти";"Iniciar sesión"
"auth.signUp.signUpButton";"Зарегистрироваться";"Registrarse"
"auth.signUp.subtitle";"Создайте аккаунт и начните работу";"Crea una cuenta y empieza"
"auth.signUp.termsOfService";"условиями использования";"términos del servicio"
"auth.signUp.title";"Регистрация";"Crear cuenta"
"auth.signUp.validation.agreeTermsRequired";"Необходимо согласиться с условиями использования";"Debes aceptar los términos del servicio"
"auth.signUp.validation.confirmPasswordRequired";"Подтвердите пароль";"Confirma tu contraseña"
"auth.signUp.validation.emailRequired";"Введите корректный email";"Ingresa un correo válido"
"auth.signUp.validation.firstNameRequired";"Введите ваше имя";"Ingresa tu nombre"
"auth.signUp.validation.lastNameRequired";"Введите вашу фамилию";"Ingresa tu apellido"
"auth.signUp.validation.passwordMinLength";"Пароль должен быть не менее 8 символов";"La contraseña debe tener al menos 8 caracteres"
"auth.signUp.validation.passwordsNotMatch";"Пароли не совпадают";"Las contraseñas no coinciden"
"business.advertisements.ads.adBadge";"Реклама";"Anuncio"
"business.advertisements.ads.buyAds";"Купить рекламу";"Comprar publicidad"
"business.advertisements.ads.columns.createdAt";"Создано";"Creado"
"business.advertisements.ads.columns.photo";"Фото";"Foto"
"business.advertisements.ads.columns.placement";"Размещение";"Ubicación"
"business.advertisements.ads.columns.placementDates";"Даты размещения";"Fechas de publicación"
"business.advertisements.ads.columns.stats";"Статистика";"Estadísticas"
"business.advertisements.ads.columns.status";"Статус";"Estado"
"business.advertisements.ads.columns.title";"Название";"Título"
"business.advertisements.ads.columns.visible";"Видимость";"Visibilidad"
"business.advertisements.ads.description";"Управление рекламными объявлениями с полной статистикой и настройками";"Administra tus anuncios con estadísticas y configuración completas"
"business.advertisements.ads.noAds";"Нет рекламных объявлений";"Sin anuncios"
"business.advertisements.ads.noAdsDescription";"Купите рекламу для продвижения вашего бизнеса";"Compra publicidad para promocionar tu negocio"
"business.advertisements.ads.notifications.deleteError";"Не удалось удалить рекламное объявление";"No se pudo eliminar el anuncio"
"business.advertisements.ads.notifications.deleteSuccess";"Рекламное объявление успешно удалено";"Anuncio eliminado correctamente"
"business.advertisements.ads.notifications.visibilityError";"Ошибка при обновлении видимости";"Error al actualizar la visibilidad"
"business.advertisements.ads.notifications.visibilityUpdated";"Видимость объявления обновлена";"Visibilidad del anuncio actualizada"
"business.advertisements.ads.placements.banner";"Баннер";"Banner"
"business.advertisements.ads.placements.homepage";"Главная";"Inicio"
"business.advertisements.ads.placements.services";"Услуги";"Servicios"
"business.advertisements.ads.placements.sidebar";"Боковая панель";"Barra lateral"
"business.advertisements.ads.stats.clicks";"Клики";"Clics"
"business.advertisements.ads.stats.created";"Создано";"Creado"
"business.advertisements.ads.stats.impressions";"Показы";"Impresiones"
"business.advertisements.ads.title";"Мои рекламные объявления";"Mis anuncios"
"business.advertisements.ads.viewModal.city";"Город";"Ciudad"
"business.advertisements.ads.viewModal.clicks";"Клики";"Clics"
"business.advertisements.ads.viewModal.endDate";"Дата окончания";"Fecha de fin"
"business.advertisements.ads.viewModal.impressions";"Показы";"Impresiones"
"business.advertisements.ads.viewModal.link";"Ссылка";"Enlace"
"business.advertisements.ads.viewModal.placement";"Размещение";"Ubicación"
"business.advertisements.ads.viewModal.startDate";"Дата начала";"Fecha de inicio"
"business.advertisements.ads.viewModal.state";"Штат";"Estado"
"business.advertisements.ads.viewModal.status";"Статус";"Estado"
"business.advertisements.ads.viewModal.title";"Просмотр рекламного объявления";"Ver anuncio"
"business.advertisements.buyAds";"Купить рекламу";"Comprar publicidad"
"business.advertisements.columns.createdAt";"Создано";"Creado"
"business.advertisements.columns.photo";"Фото";"Foto"
"business.advertisements.columns.status";"Статус";"Estado"
"business.advertisements.columns.title";"Название";"Título"
"business.advertisements.columns.visible";"Видимость";"Visibilidad"
"business.advertisements.create.additionalServices.active";"Активна";"Activo"
"business.advertisements.create.additionalServices.addButton";"Добавить";"Agregar"
"business.advertisements.create.additionalServices.addError";"Не удалось добавить дополнительную услугу";"No se pudo agregar el servicio adicional"
"business.advertisements.create.additionalServices.added";"Дополнительная услуга добавлена";"Servicio adicional agregado"
"business.advertisements.create.additionalServices.cancel";"Отмена";"Cancelar"
"business.advertisements.create.additionalServices.delete";"Удалить";"Eliminar"
"business.advertisements.create.additionalServices.deleteError";"Не удалось удалить дополнительную услугу";"No se pudo eliminar el servicio adicional"
"business.advertisements.create.additionalServices.deleteMessage";"Вы уверены, что хотите удалить эту дополнительную услугу?";"¿Seguro que quieres eliminar este servicio adicional?"
"business.advertisements.create.additionalServices.deleteTitle";"Удалить дополнительную услугу?";"¿Eliminar servicio adicional?"
"business.advertisements.create.additionalServices.deleted";"Дополнительная услуга удалена";"Servicio adicional eliminado"
"business.advertisements.create.additionalServices.description";"Описание";"Descripción"
"business.advertisements.create.additionalServices.descriptionPlaceholder";"Описание услуги";"Descripción del servicio"
"business.advertisements.create.additionalServices.duration";"Длительность (мин)";"Duración (min)"
"business.advertisements.create.additionalServices.durationPlaceholder";"например, 30";"p. ej. 30"
"business.advertisements.create.additionalServices.editFormTitle";"Редактировать дополнительную услугу";"Editar servicio adicional"
"business.advertisements.create.additionalServices.formTitle";"Добавить дополнительную услугу";"Agregar servicio adicional"
"business.advertisements.create.additionalServices.fromDb";"из базы данных";"desde la base de datos"
"business.advertisements.create.additionalServices.inactive";"Неактивна";"Inactivo"
"business.advertisements.create.additionalServices.isActive";"Активна";"Activo"
"business.advertisements.create.additionalServices.loading";"Загрузка дополнительных услуг...";"Cargando servicios adicionales..."
"business.advertisements.create.additionalServices.manage";"Управление";"Administrar"
"business.advertisements.create.additionalServices.manageTitle";"Управление дополнительными услугами";"Administrar servicios adicionales"
"business.advertisements.create.additionalServices.name";"Название";"Nombre"
"business.advertisements.create.additionalServices.namePlaceholder";"например, Укладка";"p. ej. peinado"
"business.advertisements.create.additionalServices.noServices";"Нет дополнительных услуг. Нажмите ""Добавить"", чтобы создать первую.";"No hay servicios adicionales. Haz clic en «Agregar» para crear el primero."
"business.advertisements.create.additionalServices.noServicesManage";"Нет дополнительных услуг. Нажмите ""Управление"", чтобы добавить первую.";"No hay servicios adicionales. Haz clic en «Administrar» para agregar el primero."
"business.advertisements.create.additionalServices.price";"Цена ($)";"Precio ($)"
"business.advertisements.create.additionalServices.pricePlaceholder";"например, 25.50";"p. ej. 25.50"
"business.advertisements.create.additionalServices.save";"Сохранить";"Guardar"
"business.advertisements.create.additionalServices.saveError";"Не удалось сохранить дополнительную услугу. Убедитесь, что услуга сохранена в базе данных.";"No se pudo guardar el servicio adicional. Asegúrate de que el servicio esté guardado en la base de datos."
"business.advertisements.create.additionalServices.serviceLabel";"Услуга";"Servicio"
"business.advertisements.create.additionalServices.showInBooking";"Показывать при бронировании";"Mostrar en la reserva"
"business.advertisements.create.additionalServices.sortOrder";"Порядок сортировки";"Orden"
"business.advertisements.create.additionalServices.title";"Дополнительные услуги";"Servicios adicionales"
"business.advertisements.create.additionalServices.updateError";"Не удалось обновить дополнительную услугу";"No se pudo actualizar el servicio adicional"
"business.advertisements.create.additionalServices.updated";"Дополнительная услуга обновлена";"Servicio adicional actualizado"
"business.advertisements.create.additionalServices.validation.durationRequired";"Введите длительность";"Ingresa la duración"
"business.advertisements.create.additionalServices.validation.nameRequired";"Введите название услуги";"Ingresa el nombre del servicio"
"business.advertisements.create.additionalServices.validation.priceRequired";"Введите цену";"Ingresa el precio"
"business.advertisements.create.buttons.addTeamMember";"Добавить участника команды";"Agregar miembro del equipo"
"business.advertisements.create.buttons.back";"Назад";"Atrás"
"business.advertisements.create.buttons.cancel";"Отмена";"Cancelar"
"business.advertisements.create.buttons.next";"Далее";"Siguiente"
"business.advertisements.create.create";"Создать";"Crear"
"business.advertisements.create.draft";"Черновик";"Borrador"
"business.advertisements.create.editTitle";"Редактировать объявление";"Editar anuncio"
"business.advertisements.create.general.category";"Категория";"Categoría"
"business.advertisements.create.general.categoryPlaceholder";"Выберите категорию";"Selecciona categoría"
"business.advertisements.create.general.citiesLoading";"Загрузка городов...";"Cargando ciudades..."
"business.advertisements.create.general.citiesNotFound";"Города не найдены";"No se encontraron ciudades"
"business.advertisements.create.general.city";"Город";"Ciudad"
"business.advertisements.create.general.cityPlaceholder";"Выберите город";"Selecciona ciudad"
"business.advertisements.create.general.description";"Описание";"Descripción"
"business.advertisements.create.general.descriptionPlaceholder";"Опишите ваше объявление";"Describe tu anuncio"
"business.advertisements.create.general.endDate";"Дата окончания";"Fecha de fin"
"business.advertisements.create.general.endDateHint";"Оставьте пустым для бессрочного размещения";"Déjala vacía para publicación indefinida"
"business.advertisements.create.general.image";"Изображение";"Imagen"
"business.advertisements.create.general.imageUploadHint";"Нажмите, чтобы загрузить изображение";"Haz clic para subir una imagen"
"business.advertisements.create.general.imageUploading";"Загрузка...";"Subiendo..."
"business.advertisements.create.general.imageUrlHint";"Или введите URL изображения ниже";"O ingresa la URL de la imagen abajo"
"business.advertisements.create.general.link";"Ссылка";"Enlace"
"business.advertisements.create.general.linkHint";"Ссылка на ваш сайт или профиль";"Enlace a tu sitio o perfil"
"business.advertisements.create.general.name";"Название объявления";"Nombre del anuncio"
"business.advertisements.create.general.namePlaceholder";"Введите название объявления";"Ingresa el nombre del anuncio"
"business.advertisements.create.general.selectStateFirst";"Сначала выберите штат";"Primero selecciona un estado"
"business.advertisements.create.general.startDate";"Дата начала";"Fecha de inicio"
"business.advertisements.create.general.startDateHint";"Оставьте пустым для бессрочного размещения";"Déjala vacía para publicación indefinida"
"business.advertisements.create.general.state";"Штат";"Estado"
"business.advertisements.create.general.statePlaceholder";"Выберите штат";"Selecciona estado"
"business.advertisements.create.general.title";"Общая информация";"Información general"
"business.advertisements.create.imageLoadError";"Не удалось загрузить изображение. Проверьте URL: {url}";"No se pudo cargar la imagen. Revisa la URL: {url}"
"business.advertisements.create.notifications.authRequired";"Требуется авторизация. Пожалуйста, войдите в систему.";"Se requiere iniciar sesión."
"business.advertisements.create.notifications.createError";"Не удалось создать объявление";"No se pudo crear el anuncio"
"business.advertisements.create.notifications.created";"Объявление успешно создано";"Anuncio creado correctamente"
"business.advertisements.create.notifications.imageUploadError";"Не удалось загрузить изображение";"No se pudo subir la imagen"
"business.advertisements.create.notifications.imageUploaded";"Изображение успешно загружено";"Imagen subida correctamente"
"business.advertisements.create.notifications.unknownError";"Произошла неизвестная ошибка";"Ocurrió un error desconocido"
"business.advertisements.create.notifications.updateError";"Не удалось обновить объявление";"No se pudo actualizar el anuncio"
"business.advertisements.create.notifications.updated";"Объявление успешно обновлено";"Anuncio actualizado correctamente"
"business.advertisements.create.portfolio.add";"Добавить";"Agregar"
"business.advertisements.create.portfolio.addMore";"Добавить ещё";"Agregar más"
"business.advertisements.create.portfolio.cancel";"Отмена";"Cancelar"
"business.advertisements.create.portfolio.description";"Описание";"Descripción"
"business.advertisements.create.portfolio.descriptionPlaceholder";"Подробное описание работы";"Descripción detallada del trabajo"
"business.advertisements.create.portfolio.error";"Ошибка";"Error"
"business.advertisements.create.portfolio.image";"изображение";"imagen"
"business.advertisements.create.portfolio.images";"Изображения";"Imágenes"
"business.advertisements.create.portfolio.imagesCount";"Изображения ({count})";"Imágenes ({count})"
"business.advertisements.create.portfolio.itemTitle";"Название";"Título"
"business.advertisements.create.portfolio.itemTitlePlaceholder";"Название работы";"Título del trabajo"
"business.advertisements.create.portfolio.success";"Успешно";"Éxito"
"business.advertisements.create.portfolio.tag";"Тег";"Etiqueta"
"business.advertisements.create.portfolio.tagPlaceholder";"например, Ремонт";"p. ej. reparación"
"business.advertisements.create.portfolio.title";"Портфолио";"Portafolio"
"business.advertisements.create.portfolio.uploadError";"Не удалось загрузить изображения";"No se pudieron subir las imágenes"
"business.advertisements.create.portfolio.uploadFileError";"Не удалось загрузить файл {fileName}";"No se pudo subir el archivo {fileName}"
"business.advertisements.create.portfolio.uploadHint";"Нажмите или перетащите файлы для загрузки (можно несколько)";"Haz clic o arrastra archivos para subir (varios permitidos)"
"business.advertisements.create.portfolio.uploadSuccess";"Загружено {count} изображений";"Se subieron {count} imágenes"
"business.advertisements.create.portfolio.uploading";"Загрузка...";"Subiendo..."
"business.advertisements.create.portfolio.warning";"Предупреждение";"Aviso"
"business.advertisements.create.pricing.currency";"Валюта";"Moneda"
"business.advertisements.create.pricing.priceFrom";"Цена от";"Precio desde"
"business.advertisements.create.pricing.priceTo";"Цена до";"Precio hasta"
"business.advertisements.create.pricing.title";"Ценообразование";"Precios"
"business.advertisements.create.save";"Сохранить";"Guardar"
"business.advertisements.create.schedule.friday";"Пятница";"Viernes"
"business.advertisements.create.schedule.hour1";"1 час";"1 hora"
"business.advertisements.create.schedule.hours15";"1.5 часа";"1.5 horas"
"business.advertisements.create.schedule.hours2";"2 часа";"2 horas"
"business.advertisements.create.schedule.hours3";"3 часа";"3 horas"
"business.advertisements.create.schedule.hours4";"4 часа";"4 horas"
"business.advertisements.create.schedule.minutes15";"15 минут";"15 minutos"
"business.advertisements.create.schedule.minutes30";"30 минут";"30 minutos"
"business.advertisements.create.schedule.monday";"Понедельник";"Lunes"
"business.advertisements.create.schedule.saturday";"Суббота";"Sábado"
"business.advertisements.create.schedule.slotStep";"Шаг слота бронирования";"Intervalo entre reservas"
"business.advertisements.create.schedule.slotStepHint";"Минимальный интервал между бронированиями";"Intervalo mínimo entre reservas"
"business.advertisements.create.schedule.subtitle";"Установите рабочие часы для каждого дня недели";"Define el horario de cada día de la semana"
"business.advertisements.create.schedule.sunday";"Воскресенье";"Domingo"
"business.advertisements.create.schedule.thursday";"Четверг";"Jueves"
"business.advertisements.create.schedule.title";"Рабочее расписание";"Horario laboral"
"business.advertisements.create.schedule.tuesday";"Вторник";"Martes"
"business.advertisements.create.schedule.wednesday";"Среда";"Miércoles"
"business.advertisements.create.schedule.workDays";"Рабочие дни";"Días laborables"
"business.advertisements.create.sections.general";"Общая информация";"Información general"
"business.advertisements.create.sections.portfolio";"Портфолио";"Portafolio"
"business.advertisements.create.sections.pricing";"Ценообразование";"Precios"
"business.advertisements.create.sections.schedule";"Расписание";"Horario"
"business.advertisements.create.sections.services";"Услуги";"Servicios"
"business.advertisements.create.sections.team";"Команда";"Equipo"
"business.advertisements.create.services.addService";"Добавить услугу";"Agregar servicio"
"business.advertisements.create.services.createTemplates";"Создайте шаблоны в Настройках";"Crea plantillas en Configuración"
"business.advertisements.create.services.days";"Дни";"Días"
"business.advertisements.create.services.duration";"Длительность";"Duración"
"business.advertisements.create.services.durationUnit";"Единица";"Unidad"
"business.advertisements.create.services.hours";"Часы";"Horas"
"business.advertisements.create.services.manualEntry";"Ввести вручную";"Entrada manual"
"business.advertisements.create.services.noServices";"Услуги не добавлены";"No hay servicios agregados"
"business.advertisements.create.services.price";"Цена";"Precio"
"business.advertisements.create.services.selectOrManual";"Выберите шаблон или введите вручную";"Elige plantilla o ingresa manualmente"
"business.advertisements.create.services.selectTemplate";"Выбрать шаблон";"Seleccionar plantilla"
"business.advertisements.create.services.serviceDescription";"Описание";"Descripción"
"business.advertisements.create.services.serviceDescriptionPlaceholder";"Опишите услугу";"Describe el servicio"
"business.advertisements.create.services.serviceName";"Название услуги";"Nombre del servicio"
"business.advertisements.create.services.serviceNamePlaceholder";"Введите название услуги";"Ingresa el nombre del servicio"
"business.advertisements.create.services.serviceNumber";"Услуга #{number}";"Servicio n.º {number}"
"business.advertisements.create.services.templateHint";"Создайте шаблоны услуг в ";"Crea plantillas de servicio en "
"business.advertisements.create.services.templateHintLink";"Настройках";"Configuración"
"business.advertisements.create.services.templateHintSuffix";" для быстрого выбора";" para elegirlas rápido"
"business.advertisements.create.services.title";"Услуги";"Servicios"
"business.advertisements.create.subtitle";"Заполните информацию для публикации вашего объявления на маркетплейсе";"Completa la información para publicar tu anuncio en el marketplace"
"business.advertisements.create.team.noMembers";"Нет участников команды";"Sin miembros en el equipo"
"business.advertisements.create.team.selected";"Выбрано";"Seleccionados"
"business.advertisements.create.team.title";"Участники команды";"Miembros del equipo"
"business.advertisements.create.title";"Создать объявление";"Crear anuncio"
"business.advertisements.createButton";"Создать объявление";"Crear anuncio"
"business.advertisements.deleteConfirm.confirm";"Удалить";"Eliminar"
"business.advertisements.deleteConfirm.message";"Вы уверены, что хотите удалить объявление ""{title}""?";"¿Seguro que quieres eliminar «{title}»? Esta acción no se puede deshacer."
